scores,videos,usertimes,systemtimes,userid,sanityscore
4,3.mp4,23327,6182,A1G96GPSRSLPC0,2
2,4.mp4,30669,6759,A1G96GPSRSLPC0,5
1,5.mp4,22980,5977,A1G96GPSRSLPC0,5
1,6.mp4,23878,7307,A1G96GPSRSLPC0,5
5,1.mp4,82040,28005,A2EI075XZT9Y2S,2
1,2.mp4,22262,8454,A2EI075XZT9Y2S,5
3,3.mp4,18630,6012,A2EI075XZT9Y2S,4
2,4.mp4,20638,7189,A2EI075XZT9Y2S,4
3,5.mp4,21410,6320,A2EI075XZT9Y2S,3
2,6.mp4,24987,39784,A2EI075XZT9Y2S,5
5,1.mp4,57915,9222,A29ZTHY1OB4IC8,2
1,2.mp4,23313,6900,A29ZTHY1OB4IC8,5
4,3.mp4,22188,10602,A29ZTHY1OB4IC8,4
2,4.mp4,21057,7931,A29ZTHY1OB4IC8,4
5,5.mp4,21497,5871,A29ZTHY1OB4IC8,2
5,6.mp4,21847,11522,A29ZTHY1OB4IC8,2
5,1.mp4,306621,46067,A87D3K9YVKTQ7,2
1,2.mp4,24693,45339,A87D3K9YVKTQ7,5
4,3.mp4,29714,12477,A87D3K9YVKTQ7,5
2,4.mp4,27796,10209,A87D3K9YVKTQ7,5
3,5.mp4,18978,10452,A87D3K9YVKTQ7,4
3,6.mp4,20499,29332,A87D3K9YVKTQ7,5
5,1.mp4,55791,13781,A2MFMT03E21ZIT,2
1,2.mp4,24564,9070,A2MFMT03E21ZIT,5
2,3.mp4,22774,7180,A2MFMT03E21ZIT,4
2,4.mp4,22341,9779,A2MFMT03E21ZIT,5
2,5.mp4,28360,18254,A2MFMT03E21ZIT,3
1,6.mp4,21011,35311,A2MFMT03E21ZIT,3
5,1.mp4,415968,194809,AVPKE76DJLWK6,2
1,2.mp4,28932,13845,AVPKE76DJLWK6,5
3,3.mp4,26915,18348,AVPKE76DJLWK6,4
3,4.mp4,23833,12910,AVPKE76DJLWK6,4
4,5.mp4,24407,16464,AVPKE76DJLWK6,3
2,6.mp4,51587,728662,AVPKE76DJLWK6,5
5,1.mp4,88711,33632,A3E8SXH0BAYG85,2
1,2.mp4,29685,10054,A3E8SXH0BAYG85,5
4,3.mp4,29254,18003,A3E8SXH0BAYG85,4
