scores,videos,usertimes,systemtimes,userid,sanityscore
4,4.mp4,24176,7659,A22KRF782ELLB0,4
4,5.mp4,26626,27780,A22KRF782ELLB0,4
3,6.mp4,25921,9053,A22KRF782ELLB0,4
5,1.mp4,136015,11051,A353KETOEN0W8T,2
1,2.mp4,51406,11359,A353KETOEN0W8T,5
5,3.mp4,30419,9927,A353KETOEN0W8T,2
4,4.mp4,37293,14254,A353KETOEN0W8T,2
2,5.mp4,32166,35949,A353KETOEN0W8T,5
1,6.mp4,29598,11365,A353KETOEN0W8T,5
5,1.mp4,84476,66405,AA9V4NE8SOA4I,4
1,2.mp4,29881,31623,AA9V4NE8SOA4I,3
5,3.mp4,24756,16693,AA9V4NE8SOA4I,2
5,4.mp4,23373,6468,AA9V4NE8SOA4I,2
5,5.mp4,24188,7165,AA9V4NE8SOA4I,2
4,6.mp4,23807,14145,AA9V4NE8SOA4I,4
5,1.mp4,123741,10876,A207IHY6GERCFO,2
1,2.mp4,39053,9577,A207IHY6GERCFO,5
5,3.mp4,23207,4250,A207IHY6GERCFO,2
4,4.mp4,23637,5912,A207IHY6GERCFO,4
5,5.mp4,24692,3652,A207IHY6GERCFO,2
3,6.mp4,112125,263384,A207IHY6GERCFO,4
5,1.mp4,140062,18008,A1DVKS3R9SLQ1H,2
1,2.mp4,39166,15814,A1DVKS3R9SLQ1H,5
5,3.mp4,27375,13281,A1DVKS3R9SLQ1H,2
1,4.mp4,30934,14891,A1DVKS3R9SLQ1H,4
1,5.mp4,35229,16865,A1DVKS3R9SLQ1H,4
1,6.mp4,30728,42854,A1DVKS3R9SLQ1H,4
5,1.mp4,220282,21647,A1IU5OP7BBZHZ7,2
1,2.mp4,45542,24078,A1IU5OP7BBZHZ7,5
1,3.mp4,29907,9565,A1IU5OP7BBZHZ7,5
1,4.mp4,25491,63494,A1IU5OP7BBZHZ7,5
1,5.mp4,26433,105918,A1IU5OP7BBZHZ7,5
1,6.mp4,30647,6968,A1IU5OP7BBZHZ7,5
5,1.mp4,95918,59743,ALVNMQMD3Q3ZE,2
1,2.mp4,98605,80332,ALVNMQMD3Q3ZE,5
4,3.mp4,23941,103703,ALVNMQMD3Q3ZE,5
5,4.mp4,27037,7023,ALVNMQMD3Q3ZE,2
2,5.mp4,26468,5307,ALVNMQMD3Q3ZE,5
4,6.mp4,35462,34881,ALVNMQMD3Q3ZE,5
5,1.mp4,140190,22863,A2AWBDW9V1E9KT,2
1,2.mp4,33649,15610,A2AWBDW9V1E9KT,5
5,3.mp4,24193,7778,A2AWBDW9V1E9KT,2
4,4.mp4,25440,99446,A2AWBDW9V1E9KT,4
3,5.mp4,25552,6955,A2AWBDW9V1E9KT,4
3,6.mp4,35185,13452,A2AWBDW9V1E9KT,4
5,1.mp4,251635,41542,A38NFX88VZDMJ3,2
1,2.mp4,211728,11125,A38NFX88VZDMJ3,5
5,3.mp4,160757,7231,A38NFX88VZDMJ3,2
4,4.mp4,209958,14712,A38NFX88VZDMJ3,4
2,5.mp4,196517,22975,A38NFX88VZDMJ3,4
3,6.mp4,160158,8953,A38NFX88VZDMJ3,5
5,1.mp4,79234,6054,A2QD9PJUKW7PKK,2
1,2.mp4,31697,4231,A2QD9PJUKW7PKK,5
5,3.mp4,24425,4012,A2QD9PJUKW7PKK,2
4,4.mp4,25095,12208,A2QD9PJUKW7PKK,4
4,5.mp4,25237,9392,A2QD9PJUKW7PKK,4
3,6.mp4,25625,21496,A2QD9PJUKW7PKK,4
5,1.mp4,86633,18752,A33VGSEJ44ORMF,2
1,2.mp4,33205,24447,A33VGSEJ44ORMF,5
5,3.mp4,25588,23069,A33VGSEJ44ORMF,2
4,4.mp4,26388,9587,A33VGSEJ44ORMF,4
3,5.mp4,27368,17011,A33VGSEJ44ORMF,4
3,6.mp4,26064,8281,A33VGSEJ44ORMF,4
5,1.mp4,80109,8667,A2PYXFVGNJPPX0,2
1,2.mp4,39833,10101,A2PYXFVGNJPPX0,2
4,3.mp4,42407,5239,A2PYXFVGNJPPX0,2
4,4.mp4,34651,10671,A2PYXFVGNJPPX0,2
5,5.mp4,31411,7739,A2PYXFVGNJPPX0,2
5,6.mp4,49734,4715,A2PYXFVGNJPPX0,2
5,1.mp4,102790,24137,A1IZ4NX41GKU4X,2
1,2.mp4,36364,33948,A1IZ4NX41GKU4X,5
5,3.mp4,31096,8704,A1IZ4NX41GKU4X,2
4,4.mp4,31073,17463,A1IZ4NX41GKU4X,4
3,5.mp4,31382,10175,A1IZ4NX41GKU4X,5
3,6.mp4,33583,17000,A1IZ4NX41GKU4X,4
5,1.mp4,209079,25151,A3L3ZFL1NYFTCF,2
1,2.mp4,38397,14417,A3L3ZFL1NYFTCF,5
4,3.mp4,28284,12015,A3L3ZFL1NYFTCF,2
5,4.mp4,32117,17836,A3L3ZFL1NYFTCF,2
4,5.mp4,30934,37396,A3L3ZFL1NYFTCF,2
1,6.mp4,30135,13959,A3L3ZFL1NYFTCF,5
5,1.mp4,63413,6133,A320QA9HJFUOZO,2
1,2.mp4,32425,3940,A320QA9HJFUOZO,5
5,3.mp4,23345,14352,A320QA9HJFUOZO,2
4,4.mp4,22986,3373,A320QA9HJFUOZO,4
4,5.mp4,23423,4754,A320QA9HJFUOZO,4
3,6.mp4,24089,9847,A320QA9HJFUOZO,4
