scores,videos,usertimes,systemtimes,userid,sanityscore
1,2.mp4,37681,8041,A3QI1RV4HQ9MOC,4
2,3.mp4,33049,4964,A3QI1RV4HQ9MOC,3
4,4.mp4,32770,7694,A3QI1RV4HQ9MOC,5
5,5.mp4,27261,10623,A3QI1RV4HQ9MOC,3
3,6.mp4,31707,11076,A3QI1RV4HQ9MOC,2
4,7.mp4,33929,14524,A3QI1RV4HQ9MOC,5
5,1.mp4,89856,9360,A28A3HF3LSEIDT,3
1,2.mp4,33059,17060,A28A3HF3LSEIDT,4
5,3.mp4,30876,8354,A28A3HF3LSEIDT,4
1,4.mp4,34166,7745,A28A3HF3LSEIDT,3
5,5.mp4,26620,12000,A28A3HF3LSEIDT,3
3,6.mp4,34657,9755,A28A3HF3LSEIDT,4
3,7.mp4,35798,9153,A28A3HF3LSEIDT,4
5,1.mp4,37849,6040,ASWZO1WY1UHEP,2
1,2.mp4,32792,10034,ASWZO1WY1UHEP,5
3,3.mp4,25607,33844,ASWZO1WY1UHEP,4
3,4.mp4,26166,7277,ASWZO1WY1UHEP,4
3,5.mp4,26990,10041,ASWZO1WY1UHEP,4
2,6.mp4,27654,18238,ASWZO1WY1UHEP,5
1,7.mp4,26717,6760,ASWZO1WY1UHEP,5
5,1.mp4,100466,34473,A1I4KQFI7M5WZG,3
1,2.mp4,31026,10043,A1I4KQFI7M5WZG,3
3,3.mp4,26847,8392,A1I4KQFI7M5WZG,3
3,4.mp4,27808,7035,A1I4KQFI7M5WZG,3
4,5.mp4,29532,11771,A1I4KQFI7M5WZG,3
4,6.mp4,29455,7450,A1I4KQFI7M5WZG,3
4,7.mp4,28579,7093,A1I4KQFI7M5WZG,3
5,1.mp4,98877,26891,A16X5FB3HAFCKN,2
1,2.mp4,31299,19322,A16X5FB3HAFCKN,2
5,3.mp4,28780,8006,A16X5FB3HAFCKN,2
1,4.mp4,59621,28617,A16X5FB3HAFCKN,2
1,5.mp4,28050,9828,A16X5FB3HAFCKN,2
5,6.mp4,35417,13413,A16X5FB3HAFCKN,2
5,7.mp4,30942,19350,A16X5FB3HAFCKN,2
5,1.mp4,138012,3964,A31Z5TPD8QKE26,2
1,2.mp4,28639,11249,A31Z5TPD8QKE26,3
4,3.mp4,23627,3833,A31Z5TPD8QKE26,2
5,4.mp4,23737,4424,A31Z5TPD8QKE26,2
3,5.mp4,23712,4117,A31Z5TPD8QKE26,4
3,6.mp4,25440,118445,A31Z5TPD8QKE26,3
2,7.mp4,25808,3258,A31Z5TPD8QKE26,3
5,1.mp4,111044,14624,A26399B1QZ7XJJ,3
1,2.mp4,30158,20835,A26399B1QZ7XJJ,3
4,3.mp4,36003,5166,A26399B1QZ7XJJ,5
5,4.mp4,33905,15932,A26399B1QZ7XJJ,2
4,5.mp4,33930,9682,A26399B1QZ7XJJ,3
1,6.mp4,28078,6348,A26399B1QZ7XJJ,2
5,7.mp4,40612,6522,A26399B1QZ7XJJ,5
5,1.mp4,148689,28945,A2KJ983WWTEK4L,2
1,2.mp4,29371,8854,A2KJ983WWTEK4L,2
4,3.mp4,27180,16187,A2KJ983WWTEK4L,2
5,4.mp4,30290,7858,A2KJ983WWTEK4L,2
2,5.mp4,29413,7558,A2KJ983WWTEK4L,2
5,6.mp4,29597,33364,A2KJ983WWTEK4L,2
1,7.mp4,31145,32191,A2KJ983WWTEK4L,2
5,1.mp4,120984,13260,AVZ76FUE8VET9,2
1,2.mp4,31253,21373,AVZ76FUE8VET9,5
4,3.mp4,24256,7215,AVZ76FUE8VET9,2
5,4.mp4,25723,18680,AVZ76FUE8VET9,2
5,5.mp4,24678,5065,AVZ76FUE8VET9,2
4,6.mp4,25016,4867,AVZ76FUE8VET9,2
3,7.mp4,29398,7440,AVZ76FUE8VET9,3
5,1.mp4,144779,18674,A54KH61CDVIB6,2
1,2.mp4,32149,15907,A54KH61CDVIB6,5
5,3.mp4,28139,10047,A54KH61CDVIB6,2
3,4.mp4,29719,6971,A54KH61CDVIB6,2
4,5.mp4,32426,5449,A54KH61CDVIB6,2
4,6.mp4,37186,10538,A54KH61CDVIB6,5
5,7.mp4,46858,4756,A54KH61CDVIB6,2
5,1.mp4,142232,13006,A1G96GPSRSLPC0,2
1,2.mp4,31722,12790,A1G96GPSRSLPC0,5
4,3.mp4,57580,7708,A1G96GPSRSLPC0,2
5,4.mp4,63859,5346,A1G96GPSRSLPC0,2
5,5.mp4,45665,6302,A1G96GPSRSLPC0,2
4,6.mp4,56871,8653,A1G96GPSRSLPC0,2
4,7.mp4,88797,9416,A1G96GPSRSLPC0,2
5,1.mp4,178185,5340,A1EX0MEOPF8AHT,5
1,2.mp4,29538,6031,A1EX0MEOPF8AHT,5
4,3.mp4,40567,4465,A1EX0MEOPF8AHT,5
5,4.mp4,123692,5211,A1EX0MEOPF8AHT,5
4,5.mp4,29512,7551,A1EX0MEOPF8AHT,5
