scores,videos,usertimes,systemtimes,userid,sanityscore
4,4.mp4,31334,13196,A3A8P4UR9A0DWQ,2
4,3.mp4,23671,25499,A3A8P4UR9A0DWQ,5
5,5.mp4,26141,4984,A3A8P4UR9A0DWQ,2
4,6.mp4,27185,10873,A3A8P4UR9A0DWQ,5
5,1.mp4,51273,19537,AJDXSXAWDDAEO,2
1,2.mp4,19828,22603,AJDXSXAWDDAEO,5
3,6.mp4,21774,7609,AJDXSXAWDDAEO,4
2,3.mp4,22096,6824,AJDXSXAWDDAEO,4
4,5.mp4,20447,4356,AJDXSXAWDDAEO,3
2,4.mp4,20596,13311,AJDXSXAWDDAEO,3
5,1.mp4,56070,4893,A320QA9HJFUOZO,2
1,2.mp4,36316,3948,A320QA9HJFUOZO,5
3,6.mp4,24996,3657,A320QA9HJFUOZO,4
3,3.mp4,18257,3545,A320QA9HJFUOZO,4
4,5.mp4,18271,3943,A320QA9HJFUOZO,3
3,4.mp4,19634,6197,A320QA9HJFUOZO,3
5,1.mp4,52050,12919,A3UV55HC87DO9C,2
1,2.mp4,24348,4076,A3UV55HC87DO9C,5
3,6.mp4,22488,10869,A3UV55HC87DO9C,4
4,5.mp4,20944,8974,A3UV55HC87DO9C,4
3,4.mp4,20947,5016,A3UV55HC87DO9C,3
3,3.mp4,23467,10527,A3UV55HC87DO9C,3
5,1.mp4,94073,25794,A1IU5OP7BBZHZ7,2
1,2.mp4,24949,11711,A1IU5OP7BBZHZ7,5
5,5.mp4,21027,45912,A1IU5OP7BBZHZ7,4
4,6.mp4,22032,24785,A1IU5OP7BBZHZ7,4
4,3.mp4,23315,81013,A1IU5OP7BBZHZ7,2
4,4.mp4,20942,111567,A1IU5OP7BBZHZ7,2
5,1.mp4,40597,12252,AA9V4NE8SOA4I,2
1,2.mp4,17439,12462,AA9V4NE8SOA4I,5
4,6.mp4,17388,13465,AA9V4NE8SOA4I,5
4,4.mp4,17770,6247,AA9V4NE8SOA4I,4
3,5.mp4,17385,7945,AA9V4NE8SOA4I,3
3,3.mp4,17580,14492,AA9V4NE8SOA4I,3
5,1.mp4,108157,15067,ASWZO1WY1UHEP,2
1,2.mp4,40032,23260,ASWZO1WY1UHEP,5
3,6.mp4,25169,16660,ASWZO1WY1UHEP,4
3,3.mp4,24209,10948,ASWZO1WY1UHEP,4
3,4.mp4,21725,35415,ASWZO1WY1UHEP,3
3,5.mp4,23492,32320,ASWZO1WY1UHEP,3
5,1.mp4,74779,9730,A2QD9PJUKW7PKK,2
1,2.mp4,21257,10624,A2QD9PJUKW7PKK,5
3,4.mp4,22684,10339,A2QD9PJUKW7PKK,4
3,3.mp4,24662,40447,A2QD9PJUKW7PKK,4
2,6.mp4,20032,78309,A2QD9PJUKW7PKK,2
4,5.mp4,25262,11182,A2QD9PJUKW7PKK,3
5,1.mp4,74751,15584,A27PVIL93ZMY46,2
1,2.mp4,46495,12245,A27PVIL93ZMY46,5
4,6.mp4,40170,14645,A27PVIL93ZMY46,4
4,5.mp4,22891,38154,A27PVIL93ZMY46,4
4,3.mp4,34860,9665,A27PVIL93ZMY46,3
3,4.mp4,45549,17356,A27PVIL93ZMY46,3
5,1.mp4,62627,11386,A1G96GPSRSLPC0,2
1,2.mp4,24658,8352,A1G96GPSRSLPC0,5
4,4.mp4,29043,7676,A1G96GPSRSLPC0,5
1,6.mp4,29277,9262,A1G96GPSRSLPC0,2
2,5.mp4,25067,10137,A1G96GPSRSLPC0,5
1,3.mp4,22576,6482,A1G96GPSRSLPC0,5
