,scores,videos,usertimes,systemtimes,userid,sanityscore,end_time
2,3,6.mp4,24996,3657,A320QA9HJFUOZO,4,2701363.2786734104
2,2,6.mp4,18712,6080,A2BW6WD7LZ9EGV,4,2701363.754673481
3,4,3.mp4,23671,25499,A3A8P4UR9A0DWQ,5,2701366.114673376
3,4,4.mp4,27739,12295,A16X5FB3HAFCKN,2,2701368.2046735287
3,1,6.mp4,29277,9262,A1G96GPSRSLPC0,2,2701371.789673567
3,5,3.mp4,24473,11497,A2SSYBUT9ZM0G9,5,2701372.588673353
3,4,5.mp4,23943,21998,A3V9JFVZQ2XF4Y,4,2701373.3416736126
4,4,3.mp4,34860,9665,A27PVIL93ZMY46,3,2701373.887673378
3,3,3.mp4,24662,40447,A2QD9PJUKW7PKK,4,2701374.146673441
3,3,3.mp4,24209,10948,ASWZO1WY1UHEP,4,2701374.2276735306
4,4,5.mp4,18852,8089,A2MCG5W6LHSRG9,3,2701374.3436734676
3,4,5.mp4,20944,8974,A3UV55HC87DO9C,4,2701375.026673317
3,4,6.mp4,22032,24785,A1IU5OP7BBZHZ7,4,2701375.175673485
3,3,4.mp4,20754,9192,A22KRF782ELLB0,4,2701375.705673456
4,4,3.mp4,23206,8136,A26399B1QZ7XJJ,2,2701376.3106734753
3,3,4.mp4,21441,7984,A2WGW5Y3ZFBDEC,4,2701376.9876732826
3,2,3.mp4,22096,6824,AJDXSXAWDDAEO,4,2701378.4016735554
3,2,3.mp4,21163,6488,A1L8RL58MYU4NC,4,2701378.888673544
3,3,6.mp4,22051,8829,AOAZMLP27GD81,4,2701379.533673525
3,2,4.mp4,20146,8665,A2GXS7E934VJQ1,4,2701380.3916733265
3,3,6.mp4,19047,6208,A1EITLFAMKA61U,5,2701380.7236733437
3,4,5.mp4,18326,29381,AKSJ3C5O3V9RB,4,2701381.459673643
3,3,3.mp4,18257,3545,A320QA9HJFUOZO,4,2701381.53567338
3,3,3.mp4,21560,30486,A12HZGOZQD5YK7,4,2701381.908673525
3,3,5.mp4,18164,4660,A2BW6WD7LZ9EGV,4,2701381.9186735153
3,4,4.mp4,21186,10092,A30RAYNDOWQ61S,4,2701382.0876734257
4,3,4.mp4,30330,113018,A3OZ8KF0HWSVWK,3,2701391.725673437
4,2,5.mp4,24025,10032,A16X5FB3HAFCKN,5,2701392.2296733856
