scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,39350,5508,A207IHY6GERCFO,2
1,2.mp4,14733,5685,A207IHY6GERCFO,5
2,3.mp4,16507,9548,A207IHY6GERCFO,4
2,4.mp4,16474,4630,A207IHY6GERCFO,4
1,5.mp4,15439,4454,A207IHY6GERCFO,5
1,6.mp4,18891,4703,A207IHY6GERCFO,5
3,7.mp4,24668,9151,A207IHY6GERCFO,3
5,1.mp4,57044,9212,A3N0QZ9ZKUCTCQ,2
1,2.mp4,14484,6292,A3N0QZ9ZKUCTCQ,5
1,3.mp4,26488,21938,A3N0QZ9ZKUCTCQ,4
2,4.mp4,13398,4582,A3N0QZ9ZKUCTCQ,4
2,5.mp4,12962,30467,A3N0QZ9ZKUCTCQ,4
1,6.mp4,12790,33993,A3N0QZ9ZKUCTCQ,5
2,7.mp4,14167,11978,A3N0QZ9ZKUCTCQ,3
5,1.mp4,50049,30208,A3FKXJVH0K2E3E,2
1,2.mp4,15175,21446,A3FKXJVH0K2E3E,5
1,3.mp4,14036,6563,A3FKXJVH0K2E3E,4
2,4.mp4,14770,22458,A3FKXJVH0K2E3E,4
1,5.mp4,14087,6326,A3FKXJVH0K2E3E,5
2,6.mp4,13579,3541,A3FKXJVH0K2E3E,5
2,7.mp4,13383,10249,A3FKXJVH0K2E3E,3
5,1.mp4,52186,12594,A129DU6FOHUVNO,2
1,2.mp4,16870,9741,A129DU6FOHUVNO,5
2,3.mp4,18546,21456,A129DU6FOHUVNO,4
2,4.mp4,16765,11752,A129DU6FOHUVNO,4
2,5.mp4,42747,11348,A129DU6FOHUVNO,5
1,6.mp4,17650,18503,A129DU6FOHUVNO,5
2,7.mp4,18270,35386,A129DU6FOHUVNO,3
5,1.mp4,74126,37601,AQXRHIMQ7UK7O,2
1,2.mp4,13241,11974,AQXRHIMQ7UK7O,5
4,3.mp4,13105,12855,AQXRHIMQ7UK7O,4
3,4.mp4,13127,11558,AQXRHIMQ7UK7O,4
2,5.mp4,15520,6327,AQXRHIMQ7UK7O,5
3,6.mp4,13388,8028,AQXRHIMQ7UK7O,5
3,7.mp4,14775,23526,AQXRHIMQ7UK7O,3
5,1.mp4,58384,13961,A1G96GPSRSLPC0,2
1,2.mp4,23746,13744,A1G96GPSRSLPC0,5
4,3.mp4,15164,5377,A1G96GPSRSLPC0,2
5,4.mp4,17343,6922,A1G96GPSRSLPC0,2
2,5.mp4,16625,6337,A1G96GPSRSLPC0,5
1,6.mp4,23675,5053,A1G96GPSRSLPC0,5
2,7.mp4,18516,12955,A1G96GPSRSLPC0,5
5,1.mp4,36538,4246,A2QD9PJUKW7PKK,2
1,2.mp4,15051,4443,A2QD9PJUKW7PKK,5
3,3.mp4,18047,10056,A2QD9PJUKW7PKK,4
3,4.mp4,14962,53620,A2QD9PJUKW7PKK,4
3,5.mp4,95201,4911,A2QD9PJUKW7PKK,4
2,6.mp4,15776,4680,A2QD9PJUKW7PKK,5
2,7.mp4,19270,7248,A2QD9PJUKW7PKK,3
5,1.mp4,69227,6854,A3TUMZ954ORSUC,2
1,2.mp4,14779,5261,A3TUMZ954ORSUC,5
2,3.mp4,20243,7451,A3TUMZ954ORSUC,5
3,4.mp4,47222,39050,A3TUMZ954ORSUC,4
2,5.mp4,15974,7113,A3TUMZ954ORSUC,5
1,6.mp4,18103,31881,A3TUMZ954ORSUC,5
1,7.mp4,14880,27704,A3TUMZ954ORSUC,3
5,1.mp4,57797,17790,A4W9APAHFWVLO,2
1,2.mp4,13510,11040,A4W9APAHFWVLO,5
3,3.mp4,13196,7811,A4W9APAHFWVLO,4
3,4.mp4,13956,5368,A4W9APAHFWVLO,4
3,5.mp4,13992,29748,A4W9APAHFWVLO,5
3,6.mp4,14101,14815,A4W9APAHFWVLO,5
3,7.mp4,13107,4725,A4W9APAHFWVLO,3
5,1.mp4,68758,5435,A2PYXFVGNJPPX0,2
1,2.mp4,17223,5535,A2PYXFVGNJPPX0,5
5,3.mp4,15422,6707,A2PYXFVGNJPPX0,2
4,4.mp4,21483,8636,A2PYXFVGNJPPX0,2
4,5.mp4,16246,8099,A2PYXFVGNJPPX0,2
2,6.mp4,16864,5009,A2PYXFVGNJPPX0,5
1,7.mp4,19097,6787,A2PYXFVGNJPPX0,5
5,1.mp4,204961,20663,A3TDUHEBFJ53NM,2
1,2.mp4,14852,24165,A3TDUHEBFJ53NM,5
4,3.mp4,16350,16101,A3TDUHEBFJ53NM,5
4,4.mp4,15824,14949,A3TDUHEBFJ53NM,5
3,5.mp4,15474,22763,A3TDUHEBFJ53NM,5
3,6.mp4,15144,9339,A3TDUHEBFJ53NM,5
3,7.mp4,16856,12993,A3TDUHEBFJ53NM,3
5,1.mp4,416635,5290,A183WYXN12P2TJ,2
1,2.mp4,13300,2894,A183WYXN12P2TJ,5
3,3.mp4,11998,8151,A183WYXN12P2TJ,4
2,4.mp4,12672,20613,A183WYXN12P2TJ,4
3,5.mp4,12453,4289,A183WYXN12P2TJ,4
2,6.mp4,11928,2822,A183WYXN12P2TJ,5
2,7.mp4,12085,2641,A183WYXN12P2TJ,3
5,1.mp4,50043,4982,A2MCG5W6LHSRG9,2
1,2.mp4,13757,12537,A2MCG5W6LHSRG9,5
2,3.mp4,14246,41331,A2MCG5W6LHSRG9,4
2,4.mp4,28876,10686,A2MCG5W6LHSRG9,4
2,5.mp4,13332,5686,A2MCG5W6LHSRG9,5
3,6.mp4,13813,4253,A2MCG5W6LHSRG9,5
3,7.mp4,15454,14690,A2MCG5W6LHSRG9,3
5,1.mp4,65651,22623,ASPRULQHB8B1F,2
1,2.mp4,15681,10648,ASPRULQHB8B1F,5
1,3.mp4,14036,7929,ASPRULQHB8B1F,4
1,4.mp4,43752,51424,ASPRULQHB8B1F,4
1,5.mp4,14838,7619,ASPRULQHB8B1F,5
1,6.mp4,14941,10511,ASPRULQHB8B1F,5
1,7.mp4,14888,8392,ASPRULQHB8B1F,3
5,1.mp4,139259,3977,AEWGY34WUIA32,2
1,2.mp4,13121,4327,AEWGY34WUIA32,5
2,3.mp4,13711,11110,AEWGY34WUIA32,4
2,4.mp4,13250,32518,AEWGY34WUIA32,4
2,5.mp4,13936,29519,AEWGY34WUIA32,4
3,6.mp4,13225,49588,AEWGY34WUIA32,5
3,7.mp4,14623,35472,AEWGY34WUIA32,3
5,1.mp4,34814,20891,A1RTLF0OVZI4QT,2
1,2.mp4,13947,5715,A1RTLF0OVZI4QT,5
2,3.mp4,14627,4849,A1RTLF0OVZI4QT,4
2,4.mp4,13964,6254,A1RTLF0OVZI4QT,4
